survey_year,survey_quarter,month_start_date,region,main_activity,region_of_residence,country_of_residence,age_group,LifeStage,transport_type,place_visits,place_spend,sample
2022,QTR 1,01/01/2022,"Aberdeen, Aberdeenshire & Moray Speyside",Visited friends or relatives,North West,England,25-34,Younger Independents,"Train, underground train, tram",107675.4547,2909806.516,1
2022,QTR 1,01/01/2022,"Aberdeen, Aberdeenshire & Moray Speyside",Visited friends or relatives,North of Scotland,Scotland,25-34,Families,Private motor vehicle,55720.96258,418276.5404,1
2022,QTR 1,01/01/2022,"Aberdeen, Aberdeenshire & Moray Speyside","Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",North of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,71866.44224,2481583.393,1
2022,QTR 1,01/01/2022,Argyll & the Isles,Visited friends or relatives,East of Scotland,Scotland,35-44,Older Independents,Private motor vehicle,74510.19381,969488.5381,1
2022,QTR 1,01/01/2022,Argyll & the Isles,Visited friends or relatives,West of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,56244.48117,2392502.931,1
2022,QTR 1,01/01/2022,Ayrshire & Arran,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,35-44,Families,Private motor vehicle,28991.22922,580336.9981,1
2022,QTR 1,01/01/2022,Ayrshire & Arran,Visited friends or relatives,West of Scotland,Scotland,45-54,Older Independents,"Train, underground train, tram",71572.07187,573082.5833,1
2022,QTR 1,01/01/2022,Dumfries & Galloway,Took part in hobbies and interests,West of Scotland,Scotland,45-54,Families,Bus/Coach/taxi,58463.89386,824537.4462,1
2022,QTR 1,01/01/2022,Dundee & Angus,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",East of Scotland,Scotland,16-24,Younger Independents,Bus/Coach/taxi,75001.28227,0,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,West of Scotland,Scotland,16-24,Younger Independents,"Train, underground train, tram",27954.53381,1594816.584,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,27629.31799,345671.6888,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,West of Scotland,Scotland,25-34,Families,Private motor vehicle,69622.97735,348422.5295,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,East of Scotland,Scotland,45-54,Families,Private motor vehicle,86897.02853,2609214.685,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",London,England,25-34,Families,Bus/Coach/taxi,130859.7617,0,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",West of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,54303.61507,1630548.159,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,52013.25949,1475011.393,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",North East,England,16-24,Younger Independents,Private motor vehicle,108108.5692,0,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,27860.48129,306736.1296,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,28497.60911,3993191.099,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East Midlands,England,45-54,Older Independents,Private motor vehicle,217417.9114,0,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,32981.70943,891293.1297,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Bus/Coach/taxi,32981.70943,118839.084,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,South East Wales,Wales,16-24,Families,Private motor vehicle,33419.63901,167245.8663,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,45-54,Families,Private motor vehicle,130345.5428,1739476.457,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,45-54,Families,Private motor vehicle,51081.75881,1035319.761,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,16-24,Younger Independents,"Walk, Bicycle",100001.7097,2702432.298,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,32981.70943,891293.1297,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,16-24,Younger Independents,Bus/Coach/taxi,37919.0068,0,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,28497.60911,770115.4261,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to an arts, cultural or entertainment experience (e.g. museum, gallery, cinema etc.)",West of Scotland,Scotland,35-44,Older Independents,"Train, underground train, tram",57985.03582,3627267.467,1
2022,QTR 1,01/01/2022,Fife,"Took part in outdoor leisure activities and sports (e.g. walking, cycling etc.)",West of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,34054.50588,0,1
2022,QTR 1,01/01/2022,Fife,Visited friends or relatives,London,England,35-44,Older Independents,"Train, underground train, tram",90897.48741,8592.349391,1
2022,QTR 1,01/01/2022,Fife,Visited friends or relatives,North of Scotland,Scotland,35-44,Families,"Train, underground train, tram",38571.93188,3798832.31,1
2022,QTR 1,01/01/2022,Fife,Visited friends or relatives,East of Scotland,Scotland,16-24,Younger Independents,Bus/Coach/taxi,56244.48117,1125883.732,1
2022,QTR 1,01/01/2022,Fife,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,27629.31799,0,1
2022,QTR 1,01/01/2022,Fife,Visited friends or relatives,West of Scotland,Scotland,45-54,Families,Private motor vehicle,63852.19852,728558.3502,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,25-34,Younger Independents,"Train, underground train, tram",69351.01265,2082369.026,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,25-34,Families,Private motor vehicle,144809.6402,0,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",South of Scotland,Scotland,35-44,Families,Other,74510.19381,9694885.381,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",West of Scotland,Scotland,35-44,Families,"Train, underground train, tram",57985.03582,5078174.454,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",North of Scotland,Scotland,25-34,Families,Private motor vehicle,27162.52888,2356166.235,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,25-34,Families,Private motor vehicle,214432.6176,13315193.77,3
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,55-64,Older Independents,"Train, underground train, tram",41634.48826,8500941.586,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,54303.61507,4076370.398,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,75001.28227,2627364.734,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,45-54,Older Independents,Bus/Coach/taxi,58463.89386,1843240.162,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,27860.48129,694339.057,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,35-44,Families,Private motor vehicle,57985.03582,1015634.891,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,45-54,Families,"Train, underground train, tram",25540.87941,1278172.544,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Took part in hobbies and interests,West of Scotland,Scotland,55-64,Older Independents,"Train, underground train, tram",55003.16081,5945591.08,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Took part in hobbies and interests,East of Scotland,Scotland,25-34,Families,"Train, underground train, tram",107527.4378,4484269.335,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,East Midlands,England,45-54,Older Independents,Private motor vehicle,217417.9114,0,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,East of Scotland,Scotland,35-44,Older Independents,Private motor vehicle,101758.0702,0,2
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,16-24,Younger Independents,"Walk, Bicycle",37919.0068,1024717.967,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,55-64,Older Independents,Private motor vehicle,118223.5914,0,3
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,35-44,Older Independents,"Walk, Bicycle",69621.51972,348415.2349,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,16-24,Younger Independents,"Train, underground train, tram",237496.8578,46914606.53,3
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,35-44,Older Independents,Bus/Coach/taxi,38571.93188,731584.0678,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,45-54,Older Independents,"Train, underground train, tram",86897.02853,417474.3496,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,35-44,Families,Private motor vehicle,156448.8788,0,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,Went sightseeing and exploring areas,East Midlands,England,55-64,Older Independents,Bus/Coach/taxi,76883.68,1154274.377,1
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",West of Scotland,Scotland,25-34,Families,Private motor vehicle,255193.668,6357470.204,2
2022,QTR 1,01/01/2022,Glasgow & Clyde Valley,"Went to an arts, cultural or entertainment experience (e.g. museum, gallery, cinema etc.)",West of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,27629.31799,497767.2319,1
2022,QTR 1,01/01/2022,Highlands & Islands,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,137444.9118,3714292.187,1
2022,QTR 1,01/01/2022,Highlands & Islands,Visited friends or relatives,South East Wales,Wales,16-24,Younger Independents,Private motor vehicle,260065.4819,0,1
2022,QTR 1,01/01/2022,Highlands & Islands,Visited friends or relatives,East Midlands,England,45-54,Older Independents,Private motor vehicle,434835.8228,5875471.407,2
2022,QTR 1,01/01/2022,Highlands & Islands,Visited friends or relatives,West of Scotland,Scotland,25-34,Younger Independents,"Train, underground train, tram",35842.47927,1614336.961,1
2022,QTR 1,01/01/2022,Highlands & Islands,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,43448.51426,869738.2284,1
2022,QTR 1,01/01/2022,Highlands & Islands,Went sightseeing and exploring areas,South East,England,25-34,Families,"Train, underground train, tram",266145.8081,2672933.575,1
2022,QTR 1,01/01/2022,Highlands & Islands,Went sightseeing and exploring areas,West of Scotland,Scotland,35-44,Families,Private motor vehicle,69532.83504,1043914.259,1
2022,QTR 1,01/01/2022,Perthshire,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,35-44,Families,Private motor vehicle,57985.03582,6964353.537,1
2022,QTR 1,01/01/2022,Scottish Borders,Visited friends or relatives,East of Scotland,Scotland,65-74,Retirement Age,Private motor vehicle,47739.32408,0,1
2022,QTR 1,01/01/2022,Scottish Borders,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",South of Scotland,Scotland,35-44,Families,Bus/Coach/taxi,223530.5814,4623714.566,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,35-44,Families,Private motor vehicle,124183.6564,1911011.061,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of England,England,16-24,Younger Independents,Private motor vehicle,54654.20357,6701056.695,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,"Took part in outdoor leisure activities and sports (e.g. walking, cycling etc.)",West of Scotland,Scotland,55-64,Older Independents,Private motor vehicle,31893.31018,478822.4332,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,Visited friends or relatives,West of Scotland,Scotland,65-74,Retirement Age,Private motor vehicle,47739.32408,0,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,Visited friends or relatives,East of Scotland,Scotland,35-44,Families,Private motor vehicle,28991.22922,1160673.996,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,Visited friends or relatives,West of Scotland,Scotland,35-44,Families,Private motor vehicle,260748.1314,0,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,Went sightseeing and exploring areas,West of Scotland,Scotland,35-44,Older Independents,Private motor vehicle,57985.03582,290181.3974,1
2022,QTR 1,01/01/2022,Stirling & Forth Valley,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,35-44,Families,Private motor vehicle,54495.75279,1772677.167,1
2022,QTR 1,01/02/2022,"Aberdeen, Aberdeenshire & Moray Speyside","Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",East of Scotland,Scotland,25-34,Younger Independents,Bus/Coach/taxi,38675.19505,11385.10995,1
2022,QTR 1,01/02/2022,"Aberdeen, Aberdeenshire & Moray Speyside","Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",North of Scotland,Scotland,16-24,Younger Independents,"Walk, Bicycle",44255.19196,0,1
2022,QTR 1,01/02/2022,"Aberdeen, Aberdeenshire & Moray Speyside","Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",North of Scotland,Scotland,55-64,Older Independents,Private motor vehicle,33597.42828,0,1
2022,QTR 1,01/02/2022,"Aberdeen, Aberdeenshire & Moray Speyside",Visited friends or relatives,South of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,59829.1253,9880529.777,1
2022,QTR 1,01/02/2022,"Aberdeen, Aberdeenshire & Moray Speyside",Went sightseeing and exploring areas,West of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,36217.41456,911310.4518,1
2022,QTR 1,01/02/2022,Ayrshire & Arran,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,35-44,Families,Private motor vehicle,145103.329,290463.1251,1
2022,QTR 1,01/02/2022,Ayrshire & Arran,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",West of Scotland,Scotland,45-54,Older Independents,"Walk, Bicycle",77228.52653,1855122.634,1
2022,QTR 1,01/02/2022,Ayrshire & Arran,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Families,Private motor vehicle,38675.19505,973153.6582,1
2022,QTR 1,01/02/2022,Ayrshire & Arran,Visited friends or relatives,West of Scotland,Scotland,45-54,Older Independents,"Train, underground train, tram",77228.52653,618374.2113,1
2022,QTR 1,01/02/2022,Ayrshire & Arran,Visited friends or relatives,West of Scotland,Scotland,35-44,Families,"Train, underground train, tram",44919.96315,854233.5529,1
2022,QTR 1,01/02/2022,Dundee & Angus,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Younger Independents,"Train, underground train, tram",38675.19505,25264410.22,1
2022,QTR 1,01/02/2022,Dundee & Angus,Visited friends or relatives,West of Scotland,Scotland,55-64,Older Independents,Private motor vehicle,31435.73056,2045128.251,1
2022,QTR 1,01/02/2022,Dundee & Angus,Visited friends or relatives,North of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,59829.1253,4790559.892,1
2022,QTR 1,01/02/2022,Dundee & Angus,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,25-34,Families,Private motor vehicle,127909.4695,5547642.017,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",East of Scotland,Scotland,16-24,Younger Independents,Bus/Coach/taxi,44255.19196,3056306.838,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",East of Scotland,Scotland,35-44,Older Independents,Bus/Coach/taxi,58041.33162,4937873.126,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,79772.16707,6600326.962,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,65-74,Retirement Age,Private motor vehicle,141837.6268,0,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,55-64,Older Independents,Bus/Coach/taxi,33597.42828,845385.7878,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",South of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,59829.1253,1505433.446,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,55-64,Older Independents,Private motor vehicle,27462.76483,3408392.309,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",South of Scotland,Scotland,16-24,Younger Independents,"Train, underground train, tram",43783.84762,2322594.679,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Families,Private motor vehicle,26844.20566,1397132.305,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Families,"Train, underground train, tram",85272.97965,13655734.2,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,51163.78779,4096720.259,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,16-24,Families,Private motor vehicle,43752.64332,2189565.462,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Took part in a health or wellbeing experience (e.g. spa, retreat, gym etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,51163.78779,2048360.129,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,Took part in hobbies and interests,North West,England,16-24,Younger Independents,Private motor vehicle,133804.2369,3366811.272,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Took part in outdoor leisure activities and sports (e.g. walking, cycling etc.)",East of Scotland,Scotland,25-34,Families,Private motor vehicle,38675.19505,3483843.645,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,45-54,Families,Private motor vehicle,129879.9953,12024516.72,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,51163.78779,0,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,Visited friends or relatives,West of Scotland,Scotland,35-44,Families,"Train, underground train, tram",43072.46052,1724421.014,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",North West,England,45-54,Families,Private motor vehicle,340937.7578,18360144.96,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,45-54,Older Independents,"Walk, Bicycle",41495.75159,207662.1151,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,45-54,Families,Private motor vehicle,54533.59333,665897.799,1
2022,QTR 1,01/02/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,35-44,Families,Private motor vehicle,188469.6184,1886361.764,1
2022,QTR 1,01/02/2022,Fife,"Took part in outdoor leisure activities and sports (e.g. walking, cycling etc.)",West of Scotland,Scotland,55-64,Older Independents,Private motor vehicle,31435.73056,790992.6803,1
2022,QTR 1,01/02/2022,Fife,"Took part in outdoor leisure activities and sports (e.g. walking, cycling etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,44124.6487,883272.8676,1
2022,QTR 1,01/02/2022,Fife,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,41495.75159,2491945.381,1
2022,QTR 1,01/02/2022,Fife,Visited friends or relatives,East of Scotland,Scotland,65-74,Retirement Age,Private motor vehicle,48264.80845,241537.3098,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,65-74,Retirement Age,Private motor vehicle,76838.74562,5127110.069,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,45-54,Older Independents,Bus/Coach/taxi,77228.52653,1159451.646,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",West of Scotland,Scotland,25-34,Families,Private motor vehicle,255818.939,768135.0485,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",West of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,51163.78779,9729710.615,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",West of Scotland,Scotland,65-74,Retirement Age,Private motor vehicle,79990.22848,880670.1088,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",West of Scotland,Scotland,25-34,Younger Independents,Bus/Coach/taxi,61404.15107,1029428.473,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",East of Scotland,Scotland,55-64,Families,Private motor vehicle,47153.59584,2926106.574,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,41495.75159,249194.5381,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,35-44,Families,Private motor vehicle,37397.96786,21709990.39,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,16-24,Younger Independents,"Train, underground train, tram",59006.92261,3750250.903,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,Took part in hobbies and interests,North West,England,16-24,Younger Independents,Private motor vehicle,133804.2369,0,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Took part in outdoor leisure activities and sports (e.g. walking, cycling etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,38675.19505,580640.6075,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,"Took part in outdoor leisure activities and sports (e.g. walking, cycling etc.)",West of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,26844.20566,53735.85787,1
2022,QTR 1,01/02/2022,Glasgow & Clyde Valley,Visited friends or relatives,West of Scotland,Scotland,35-44,Families,Private motor vehicle,43072.46052,1083798.607,1
